================================================================================
INFORME DETALLADO DE BACKTESTING
================================================================================
Fecha y Hora: 20/09/2025 12:20:42
Activo: EURUSD
Timeframe: M1


--- RESUMEN GENERAL ---

========================= RESUMEN DE BACKTESTING PERFECTO =========================
SEÑAL (PATRÓN/ESTRATEGIA)                          |     OPERACIONES RENTABLES |      BENEFICIO TOTAL
-----------------------------------------------------------------------------------------------------
Swing Trading Multi Indicator [forex]              |                        33 |               0.07 $
Engulfing [candle]                                 |                        21 |               0.05 $
Three Outside Up Down [candle]                     |                        12 |               0.03 $
Dark Cloud Cover [candle]                          |                         9 |               0.02 $
Marubozu [candle]                                  |                        10 |               0.02 $
Scalping Stochrsi Ema [forex]                      |                         8 |               0.01 $
Momentum Rsi Macd [forex]                          |                         7 |               0.01 $
Harami [candle]                                    |                         7 |               0.01 $
Shooting Star [candle]                             |                         5 |               0.01 $
Three Inside Up Down [candle]                      |                         5 |               0.01 $
Piercing Line [candle]                             |                         5 |               0.01 $
Candle Reversal [forex]                            |                         6 |               0.01 $
Fibonacci Reversal [forex]                         |                         6 |               0.01 $
Price Action Sr [forex]                            |                         6 |               0.01 $
Hanging Man [candle]                               |                         3 |               0.01 $
Ma Crossover [forex]                               |                         6 |               0.01 $
Inverted Hammer [candle]                           |                         3 |               0.00 $
Chart Breakout [forex]                             |                         3 |               0.00 $
Three Black Crows [candle]                         |                         1 |               0.00 $
Evening Star [candle]                              |                         2 |               0.00 $
Hammer [candle]                                    |                         3 |               0.00 $
Ichimoku Kinko Hyo [forex]                         |                         2 |               0.00 $
Bollinger Bands Breakout [forex]                   |                         3 |               0.00 $
Dragonfly Doji [candle]                            |                         1 |               0.00 $
Morning Star [candle]                              |                         1 |               0.00 $
-----------------------------------------------------------------------------------------------------

BENEFICIO TOTAL PERFECTO: 0.31 $


--- DETALLE DE OPERACIONES RENTABLES ---
FECHA ENTRADA          | SEÑAL                               | TIPO    |    ENTRADA |     SALIDA |    BENEFICIO
----------------------------------------------------------------------------------------------------------------
19/09/2025 19:01       | Engulfing                           | short   |    1.17525 |    1.17440 |       0.01 $
19/09/2025 19:02       | Three Outside Up Down               | short   |    1.17523 |    1.17435 |       0.01 $
19/09/2025 19:09       | Dark Cloud Cover                    | short   |    1.17454 |    1.17423 |       0.00 $
19/09/2025 19:11       | Dark Cloud Cover                    | short   |    1.17440 |    1.17427 |       0.00 $
19/09/2025 19:11       | Engulfing                           | short   |    1.17440 |    1.17427 |       0.00 $
19/09/2025 19:12       | Three Outside Up Down               | short   |    1.17435 |    1.17415 |       0.00 $
19/09/2025 19:23       | Inverted Hammer                     | long    |    1.17413 |    1.17434 |       0.00 $
19/09/2025 19:24       | Engulfing                           | long    |    1.17424 |    1.17442 |       0.00 $
19/09/2025 19:24       | Marubozu                            | long    |    1.17424 |    1.17442 |       0.00 $
19/09/2025 19:29       | Candle Reversal                     | long    |    1.17424 |    1.17452 |       0.00 $
19/09/2025 19:29       | Fibonacci Reversal                  | long    |    1.17424 |    1.17452 |       0.00 $
19/09/2025 19:29       | Price Action Sr                     | long    |    1.17424 |    1.17452 |       0.00 $
19/09/2025 19:31       | Candle Reversal                     | long    |    1.17436 |    1.17454 |       0.00 $
19/09/2025 19:31       | Fibonacci Reversal                  | long    |    1.17436 |    1.17454 |       0.00 $
19/09/2025 19:31       | Price Action Sr                     | long    |    1.17436 |    1.17454 |       0.00 $
19/09/2025 19:32       | Engulfing                           | long    |    1.17446 |    1.17480 |       0.00 $
19/09/2025 19:35       | Three Inside Up Down                | long    |    1.17451 |    1.17504 |       0.01 $
19/09/2025 19:36       | Bollinger Bands Breakout            | long    |    1.17460 |    1.17472 |       0.00 $
19/09/2025 19:38       | Harami                              | long    |    1.17444 |    1.17469 |       0.00 $
19/09/2025 19:40       | Candle Reversal                     | long    |    1.17451 |    1.17456 |       0.00 $
